Category_Type,price_segment,total_qty,total_amount,perc_total_qty,perc_total_amount,elasticity,p_value,r_squared
A) Dress,A) Premium,611,261590.0,0.006216678197875544,0.004015140297603568,-4.013834616507181,1.049152493885366e-09,0.22424868495832284
A) Dress,B) Average,10017,7630545.0,0.10191892881852589,0.11712110066201849,0.5691933555252272,0.14492326701433522,0.006420531011540054
A) Dress,C) Economy,2285,2092733.0,0.02324895201660494,0.032121321917599324,-2.7286730391838234,2.951581723539659e-09,0.1360923066528119
B) Set,A) Premium,5369,2897435.0,0.0546274062919702,0.044472678726965836,0.4671694619438455,0.08769278073427444,0.00412681884985
B) Set,B) Average,21501,16129668.0,0.2187639900695942,0.2475739897311317,-0.7550987989803407,1.6830178795272445e-06,0.011336584015643747
B) Set,C) Economy,11387,13584371.0,0.11585812543242033,0.20850627095721272,-1.5294683832482587,5.4902716327848604e-12,0.04110599502357681
C) Kurta,A) Premium,4537,1397227.0,0.04616214236294819,0.021446012586871593,-1.3565412342742014,0.001257414559015986,0.011297948095300603
C) Kurta,B) Average,24613,10618292.0,0.2504273330348785,0.1629799766845888,-1.0257269059119747,1.0065034768686598e-09,0.014663539064137643
C) Kurta,C) Economy,8307,5416778.0,0.0845203695413292,0.08314203001250987,-0.6707175339551367,2.9104714882340083e-06,0.018139252935527206
D) Top,A) Premium,758,240773.0,0.007712343819950347,0.0036956205316522185,0.48038063442332185,0.28729939328901677,0.007143108580090152
D) Top,B) Average,4431,2142164.0,0.04508363517968336,0.03288003746502408,1.212201580493221,2.0469912193222715e-10,0.051877443664371525
D) Top,C) Economy,4011,2519898.0,0.04081030483089821,0.03867786997075819,-1.8783159964473932,7.587374181890982e-10,0.07371191520798348
Z) Other,A) Premium,142,41755.0,0.001444792641732123,0.0006408967587692075,0.55489389742311,0.17780196645828816,0.028553997282664723
Z) Other,B) Average,250,119470.0,0.0025436490171340197,0.0018337429234859827,-0.376666626166017,0.0009842940326839347,0.06673667481684975
Z) Other,C) Economy,65,58200.0,0.0006613487444548451,0.0008933107738083552,0.0763913451193964,0.8815442876880906,0.01967059786038039
